#,Stage,Match,Battle ID,Blue Team,Ban 1,Ban 2,Ban 3,Pick 1,Pick 2,Pick 3,Ban 4,Ban 5,Pick 4,Pick 5,Gold Player,Gold Hero,Gold Kills,Gold Deaths,Gold Assists,Gold Gold,Gold Damage,Gold Turret,Gold Dmg Taken,Jungler Player,Jungler Hero,Jungler Kills,Jungler Deaths,Jungler Assists,Jungler Gold,Jungler Damage,Jungler Turret,Jungler Dmg Taken,EXP Laner Player,EXP Laner Hero,EXP Laner Kills,EXP Laner Deaths,EXP Laner Assists,EXP Laner Gold,EXP Laner Damage,EXP Laner Turret,EXP Laner Dmg Taken,Mid Laner Player,Mid Laner Hero,Mid Laner Kills,Mid Laner Deaths,Mid Laner Assists,Mid Laner Gold,Mid Laner Damage,Mid Laner Turret,Mid Laner Dmg Taken,Roamer Player,Roamer Hero,Roamer Kills,Roamer Deaths,Roamer Assists,Roamer Gold,Roamer Damage,Roamer Turret,Roamer Dmg Taken,Red Team,Ban 1,Ban 2,Ban 3,Pick 1,Pick 2,Pick 3,Ban 4,Ban 5,Pick 4,Pick 5,Gold Player,Gold Hero,Gold Kills,Gold Deaths,Gold Assists,Gold Gold,Gold Damage,Gold Turret,Gold Dmg Taken,Jungler Player,Jungler Hero,Jungler Kills,Jungler Deaths,Jungler Assists,Jungler Gold,Jungler Damage,Jungler Turret,Jungler Dmg Taken,EXP Laner Player,EXP Laner Hero,EXP Laner Kills,EXP Laner Deaths,EXP Laner Assists,EXP Laner Gold,EXP Laner Damage,EXP Laner Turret,EXP Laner Dmg Taken,Mid Laner Player,Mid Laner Hero,Mid Laner Kills,Mid Laner Deaths,Mid Laner Assists,Mid Laner Gold,Mid Laner Damage,Mid Laner Turret,Mid Laner Dmg Taken,Roamer Player,Roamer Hero,Roamer Kills,Roamer Deaths,Roamer Assists,Roamer Gold,Roamer Damage,Roamer Turret,Roamer Dmg Taken,Game Duration,Winner,Include
1,UR Min,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue,
2,UR Min,2,default,Sarimanok Esports - Budiak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTE Apex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue,
3,UR Min,3,215379898536866227,XCEED SGD,,,,,,,,,,,[XCD] SANAAAAAAA,Clint,2,0,5,8041,25290,23917,13550,[XCD] Chad.,Hayabusa,9,1,2,8638,40454,6767,10583,[XCD] Kidd,Arlott,1,0,5,7074,27506,9881,24394,[XCD] SHELBY,Selena,0,0,5,5708,14003,2353,14253,[XCD] Keyg.,Chip,0,1,7,5203,13692,0,25096,Phalanx Fiducia,,,,,,,,,,,[PXF] SESCAYMC,Natan,2,2,0,6356,15751,0,33076,[PXF] Heneral Pain,Lukas,0,4,1,4264,6144,0,33801,[PXF] Aɴɢᴇʟᴏᴏᴏ.,Hylos,0,0,2,4041,10037,0,53384,[PXF] Tᴀɴᴛᴀɴɴɴ.,Novaria,0,1,2,4201,20762,0,12721,[PXF] Shyzynx,Estes,0,5,2,3750,2986,0,20494,9:44:00,Blue,
4,UR Min,4,746590232619299290,UMESA VANGUARDS,,,,,,,,,,,[UMESA] DANZUUU,Granger,13,0,5,12499,68789,15210,15858,[UMESA] Nc1babyVenti,Suyou,2,2,6,10618,33594,8649,29174,[UMESA] ako si yuan,Phoveus,3,3,5,7041,33667,1690,69190,[UMESA] Lalisa.,Zhuxin,1,2,17,8130,33200,4207,38964,[UMESA] Doc Giyuuu.,Tigreal,0,2,10,6535,12858,0,66120,USEP INVICTUM,,,,,,,,,,,[INVI] KUSHENN,Irithel,0,3,6,7168,18697,4916,25690,[INVI] NAMME,Joy,2,4,1,7123,20651,0,42177,[INVI] BILAR,Hylos,0,5,6,6244,20939,0,96763,[INVI] ØZONE,Cecilion,3,2,5,7984,39919,0,32349,[INVI] YMIRR,Kalea,4,5,4,6247,16047,0,70076,12:59:00,Blue,
5,UR Min,5,215165729992650728,Sarimanok Esports - Kampilan,Selena,Phoveus,,Mathilda,Gatotkaca,Brody,,,,,[SME] WAZAAA,Brody,1,2,4,12404,54315,15139,53514,[SME] Khai.,Lukas,5,3,6,15480,57543,0,118111,[SME] Peanut.,Gatotkaca,1,2,7,10552,23835,1369,162363,[SME] ARMIN.Senjuu,Cecilion,2,1,7,13911,93105,3536,72579,[SME] Commander,Mathilda,3,2,9,10597,35558,0,100837,HCDC Esports - A,Chip,Kalea,,Fanny,Badang,Novaria,,,,,[HCDCA] Ameer.,Granger,5,0,1,16066,77267,17781,34083,[HCDCA] Gilzareth,Fanny,3,2,3,16842,37730,5266,73496,[HCDCA] Pablo,Badang,1,3,5,10522,28863,1582,150514,[HCDCA] Keria,Xavier,0,4,6,10558,85730,5146,39189,[HCDCA] Toshiro,Hilda,1,3,5,11282,28531,2940,219673,21:54:00,Red,
6,UR Min,6,default,BALANGHAI BIDLISIW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centauri Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue,
7,UR Min,7,746558183573336340,Ateneo Cavalry,,,,,,,,,,,[ADDU] Paоlо.,Harith,5,1,2,10415,,,,[ADDU] ɪɴꜱᴛɪɴᴄᴛ,Leomord,4,0,5,10676,,,,[ADDU] Bossing.,Badang,2,2,7,7522,,,,[ADDU] Yanfei Minatozaki,Zhuxin,3,1,9,8570,,,,[ADDU] Yuki ㅤ,Hylos,0,1,11,7257,,,,Areneyoww,,,,,,,,,,,[YOWW] Odysseus.,Karrie,1,1,1,7860,,,,[YOWW] B1ng,Lukas,2,4,3,7518,,,,[YOWW] Sunlight,Phoveus,1,4,3,6167,,,,[YOWW] Luna,Vexana,0,2,2,6045,,,,[YOWW] ᴊᴜɴɪᴏʀ.,Angela,1,3,3,5966,,,,12:46:00,Blue,
8,UR Min,8,215166584691142634,TEAM 7,,,,,,,,,,,[TM7] SohCahToa,Karrie,8,1,7,11019,73284,15505,44201,[TM7] Meowmere,Alpha,8,3,14,8708,69557,2478,108073,[TM7] Khalil,Badang,3,4,14,8129,34155,1911,112011,[TM7] Feiyun,Zhuxin,7,2,14,8341,42500,1707,70555,[TM7] Filix,Floryn,0,3,25,7440,23909,3092,48940,Azure Pantheons - Dioscuri,,,,,,,,,,,[MCM] Tadaaki.,Irithel,6,3,5,11082,91575,7868,46738,[MCM] TyroneOverKill,Fredrinn,2,6,10,7191,27030,0,106505,[MCM] Aino,Phoveus,4,5,6,7330,51491,342,122221,[MCM] Myth,Lunox,1,4,4,6574,41511,0,45953,[MCM] zKharl,Carmilla,0,8,8,6292,13661,0,89852,13:55:00,Blue,
9,UR Min,9,215186551994101780,AGILA ESPORTS x DOMINATORS,,,,,,,,,,,[USeP] KIRR,Brody,4,0,1,8883,25993,24919,9357,[USeP] Oying,Joy,3,2,3,7605,20566,633,20961,[USeP] Minatozaki 사나,Lukas,2,1,6,6245,31677,4535,22207,[USeP] Impostor.,Zhuxin,3,0,6,6558,30606,4535,22207,[USeP] Ch4kwawa,Gatotkaca,1,1,6,4972,12169,2337,51646,GAMERPACT CSU,,,,,,,,,,,[GPC] Super cybe,Granger,1,0,2,6543,17247,0,13263,[GPC] xᴛᴅᴢ.,Alice,1,7,2,4613,17325,0,64153,[GPC] ᴄᴏᴄᴏɴᴜᴛ,Phoveus,1,3,0,4663,14561,0,57074,[GPC] Jieee,Cecilion,1,0,1,4439,28301,0,18138,[GPC] RoamDaddy,Floryn,0,3,3,4108,9838,0,28947,9:42:00,Blue,
10,UR Min,10,215161946126462944,ARSENAL EXID,,,,,,,,,,,[ARX] Nagi Seishirō,Beatrix,3,4,7,9998,43389,2647,37162,[ARX] shclevss`,Alice,9,1,4,11188,55053,1880,133540,[ARX] Khenjie`,Phoveus,2,4,3,8175,32576,793,97017,[ARX] RALPHSKOYY,Cecilion,0,6,8,8382,48108,684,56539,[ARX] Nethz,Kalea,0,8,7,6818,14815,0,116096,Arctic,,,,,,,,,,,[USePA] GUTSS,Irithel,11,1,8,13792,101298,14906,35644,[USePA] BBBBBBB,Joy,5,5,6,12222,47857,9687,70716,[USePA] Vshone,Hylos,1,1,12,8775,32148,371,137200,[USePA] Mysophobia.,Valir,2,2,10,8147,37054,972,33905,[USePA] Dari,Selena,4,5,12,7902,46743,1449,39790,15:30:00,Red,
11,UR Min,11,215488402295665305,SIMETRA,,,,,,,,,,,[ART] Saè D Luxydirté,Granger,7,1,4,12209,58897,16767,43102,[ART] — flynnn,Joy,3,1,4,10867,34324,5934,58960,[ART] Azl.,Phoveus,0,4,10,7083,26935,1350,90958,[ART] Kuto^^,Cecilion,5,1,9,9062,46954,1161,33328,[ART] BAWAT PIYESA,Floryn,1,2,14,7331,10387,276,41536,TRACE Immortal,,,,,,,,,,,[TRCIM] sadboi shawn,Irithel,1,3,5,9789,44957,2902,41862,[TRCIM] Bosch,Lukas,4,3,1,8947,43991,0,79244,[TRCIM] bestplayer1,Badang,2,2,3,6624,20075,0,91407,[TRCIM] kim ong bak,Vexana,2,2,5,6789,41143,0,29798,[TRCIM] IMZONE,Mathilda,0,6,8,6621,14890,0,69594,15:04:00,Blue,
12,UR Min,12,default,HCDC Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UMESA LEGIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue,
